"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 16:19:49 SGT 2019","Wed May 29 16:19:51 SGT 2019","2737","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC03_login","Login with correct password and empty password",""
"passed","Wed May 29 16:20:35 SGT 2019","Wed May 29 16:20:40 SGT 2019","4783","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC02_home_navigation","Able to navigate to PIM page",""
"passed","Wed May 29 16:20:17 SGT 2019","Wed May 29 16:20:25 SGT 2019","7852","OrangeHRM Test Suite","Full Test","features.InquiryUserOHRMTest","features.InquiryUserOHRMTest","TC02_inquiry","User is inquiry with invalid name",""
"failed","Wed May 29 16:22:08 SGT 2019","Wed May 29 16:22:12 SGT 2019","4144","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC04_login","Login with correct username and correct password","Test Description: Login test with correct username and correct password."
"passed","Wed May 29 16:20:00 SGT 2019","Wed May 29 16:20:03 SGT 2019","3046","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC06_login","Login with incorrect user name and correct password",""
"passed","Wed May 29 16:20:43 SGT 2019","Wed May 29 16:20:48 SGT 2019","5127","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC03_home_navigation","Able to navigate to leave page",""
"passed","Wed May 29 16:20:51 SGT 2019","Wed May 29 16:20:56 SGT 2019","4795","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC04_home_navigation","Able to navigate to time page",""
"passed","Wed May 29 16:19:37 SGT 2019","Wed May 29 16:19:40 SGT 2019","2892","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC01_login","Login with empty user name and empty password",""
"passed","Wed May 29 16:20:28 SGT 2019","Wed May 29 16:20:32 SGT 2019","4560","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC01_home_navigation","Able to navigate to admin page",""
"passed","Wed May 29 16:19:43 SGT 2019","Wed May 29 16:19:46 SGT 2019","2660","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC02_login","Login with empty user name and correct password",""
"failed","Wed May 29 16:21:14 SGT 2019","Wed May 29 16:21:18 SGT 2019","4553","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC06_home_navigation","Able to navigate to performance page",""
"passed","Wed May 29 16:20:12 SGT 2019","Wed May 29 16:20:14 SGT 2019","2787","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC08_login","Login with incorrect user name and incorrect password",""
"passed","Wed May 29 16:21:30 SGT 2019","Wed May 29 16:21:45 SGT 2019","15116","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC08_home_navigation","Able to navigate to directory page",""
"passed","Wed May 29 16:21:21 SGT 2019","Wed May 29 16:21:25 SGT 2019","4237","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC07_home_navigation","Able to navigate to dashboard page",""
"passed","Wed May 29 16:19:54 SGT 2019","Wed May 29 16:19:57 SGT 2019","2938","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC05_login","Login with incorrect user name and incorrect password",""
"passed","Wed May 29 16:20:59 SGT 2019","Wed May 29 16:21:04 SGT 2019","4980","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC05_home_navigation","Able to navigate to recruitment page",""
"broken","Wed May 29 16:22:50 SGT 2019","Wed May 29 16:23:23 SGT 2019","33222","OrangeHRM Test Suite","Full Test","features.InquiryUserOHRMTest","features.InquiryUserOHRMTest","TC01_inquiry","User is inquiry with valid name",""
"passed","Wed May 29 16:20:06 SGT 2019","Wed May 29 16:20:09 SGT 2019","2997","OrangeHRM Test Suite","Full Test","features.loginORMTest","features.loginORMTest","TC07_login","Login with correct user name and incorrect password",""
"failed","Wed May 29 16:21:55 SGT 2019","Wed May 29 16:22:00 SGT 2019","4946","OrangeHRM Test Suite","Full Test","features.HomePageNavigationTest","features.HomePageNavigationTest","TC09_home_navigation","Able to navigate to About modal",""
